semg_rms,semg_std,semg_max,angle_mean,angle_std,angle_range,amg_rms,amg_std
205.21667,205.2167,3378.1216,58.951675,38.7427,99.08284,18.244207,18.244204
157.16617,157.16617,3613.4995,56.01039,35.53379,109.21925,21.757097,21.757095
136.79709,136.79709,2398.927,54.63371,35.865017,106.84996,20.502796,20.50279
148.38176,148.38176,3418.0122,54.47492,35.705425,109.425385,18.764503,18.764503
117.07315,117.07316,2541.797,54.3385,37.1025,106.36485,19.906399,19.906403
142.85597,142.85597,3273.443,55.79006,34.549168,98.70795,77.99985,77.99984
137.17667,137.17667,3613.1082,54.921696,35.06858,100.026024,73.56592,73.56591
136.13316,136.13316,2235.6611,54.78091,34.883713,102.15887,67.76575,67.76575
143.91869,143.91869,2874.6292,54.835094,34.98536,100.89056,74.68946,74.68946
89.32841,89.32841,859.611,60.497707,30.95084,96.24923,18.641577,18.641573
83.44798,83.44798,691.1308,60.192905,31.340475,94.32257,19.513409,19.51341
78.66044,78.66044,586.97046,60.382492,30.606623,90.94719,20.693342,20.693346
85.48629,85.48629,1152.1813,60.219368,30.472248,91.68979,19.493853,19.49385
70.049484,70.049484,624.60913,59.121544,30.445217,87.49718,18.853891,18.853891
69.74138,69.74138,632.4229,59.221092,30.744507,88.81592,19.890781,19.890781
71.0054,71.0054,643.23553,59.20814,29.69682,86.785934,17.40428,17.40428
67.18589,67.18589,577.8906,58.660984,30.903553,88.59813,19.445469,19.445473
99.20924,99.20924,922.271,53.20329,26.577919,86.49014,10.79909,10.7990885
107.05318,107.05318,1333.7964,52.523136,25.579086,81.67789,10.469223,10.469222
101.41848,101.41849,967.06067,52.49229,25.475025,79.68586,9.752809,9.752808
90.92829,90.92829,1214.2239,52.46981,25.700342,80.02641,9.631237,9.631237
78.010765,78.010765,1009.7738,54.38804,28.253035,108.062515,77.44524,77.44522
77.77125,77.77125,1034.7877,54.290325,28.815159,108.950455,80.07855,80.07855
76.21249,76.21248,1128.9198,53.963917,29.074728,109.0512,79.38235,79.38234
69.944534,69.944534,1145.4574,53.842766,29.281315,110.062515,69.98773,69.98775
148.66473,148.66473,2480.2842,60.648094,33.367424,96.19593,22.083443,22.083445
